,/lpc/w83627dhgp/voltage/0,/lpc/w83627dhgp/voltage/1,/lpc/w83627dhgp/voltage/2,/lpc/w83627dhgp/voltage/3,/lpc/w83627dhgp/voltage/4,/lpc/w83627dhgp/voltage/5,/lpc/w83627dhgp/voltage/6,/lpc/w83627dhgp/voltage/7,/lpc/w83627dhgp/temperature/0,/lpc/w83627dhgp/temperature/1,/lpc/w83627dhgp/temperature/2,/lpc/w83627dhgp/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","CPU","Auxiliary","System","CPU Fan","CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Core #1","CPU Core #2","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
05/20/2022 21:55:45,1.264,0.944000065,3.344,3.36000013,1.68000007,1.74400008,1.89600015,3.47200012,40,46,36,2295.91846,4.6875,7.8125,6.25,39,37,2926.197,2926.197,266.0179,60.5967865,2.27065277,1.47649765,40,64.6481247
05/20/2022 21:55:46,1.264,0.944000065,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,40,46,36,2295.91846,9.375,10.9375,10.15625,39,37,2926.197,2926.197,266.0179,60.6531868,2.272766,1.47438431,40,64.6481247
05/20/2022 21:55:47,1.23200011,0.944000065,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40,46,36,2295.91846,45.3125,46.875,46.09375,43,45,2926.197,2926.197,266.0179,61.494278,2.30428314,1.44286728,40,64.6481247
05/20/2022 21:55:48,1.264,0.952,3.344,3.36000013,1.672,1.74400008,1.89600015,3.47200012,40,46,36,2295.91846,26.5625,28.125,27.34375,39,37,2926.197,2926.197,266.0179,61.27398,2.29602814,1.45112228,40,64.6481247
05/20/2022 21:55:49,1.264,0.952,3.344,3.344,1.672,1.74400008,1.904,3.47200012,40,46,36,2295.91846,17.1875,17.1875,17.1875,39,37,2926.197,2926.197,266.0179,61.3696747,2.299614,1.44753647,40,64.6481247
05/20/2022 21:55:50,1.23200011,0.944000065,3.344,3.344,1.68000007,1.75200009,1.88800013,3.47200012,40,46.5,36,2295.91846,27.6923065,64.61538,46.1538429,43,42,2926.197,2926.197,266.0179,58.45649,2.19045258,1.55669785,40,64.6481247
05/20/2022 21:55:51,1.264,0.952,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,40,46,36,2295.91846,0,4.6875,2.34375,39,37,2926.197,2926.197,266.0179,58.57743,2.19498444,1.552166,40,64.6481247
05/20/2022 21:55:52,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40,46,36,2295.91846,16.9230766,15.3846149,16.1538486,39,37,2926.197,2926.197,266.0179,58.5964661,2.19569778,1.55145264,40,64.6481247
05/20/2022 21:55:53,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,40,46,36,2295.91846,3.125,3.125,3.125,39,37,2926.197,2926.197,266.0179,58.5948372,2.19563675,1.55151367,40,64.6481247
05/20/2022 21:55:54,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40,46,36,2295.91846,18.75,17.1875,17.96875,41,39,2926.197,2926.197,266.0179,58.5948372,2.19563675,1.55151367,40,64.6481247
05/20/2022 21:55:55,1.256,0.944000065,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,40,46,36,2295.91846,30.76923,30.76923,30.76923,42,40,2926.197,2926.197,266.0179,58.6506271,2.1977272,1.54942322,40,64.6481247
05/20/2022 21:55:56,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,40,46,36,2280.40552,24.6153831,18.4615364,21.53846,42,40,2926.197,2926.197,266.0179,58.8403854,2.2048378,1.54231262,40,64.6481247
